Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.3-103.229.10.173-64710-443-6,192.168.1.3,64710,103.229.10.173,443,6,30/08/2021 10:13:59 AM,422409,7,7,610,3335,517,0,87.14285714,192.6918339,1460,0,476.4285714,688.7834341,9339.289646,33.14323322,32493,57559.91555,213062,0,422409,70401.5,92183.85011,245737,15258,197817,32969.5,33362.48,86065,1631,0,0,0,0,152,148,16.57161661,16.57161661,0,1460,263,512.265835,262416.2857,1,3,0,5,13,0,0,0,1,281.7857143,87.14285714,476.4285714,0,0,0,3945,5,27108,0,43,0,238,8192,64240,2,20,0,0,0,0,1.63E+15,0,1.63E+15,1.63E+15,normal
192.168.1.3-103.229.10.173-52995-443-6,192.168.1.3,52995,103.229.10.173,443,6,30/08/2021 10:13:59 AM,2143716,15,20,1785,5617,563,0,119,189.881542,1460,0,280.85,440.2554611,3452.882751,16.32678956,63050.47059,124196.7871,631670,916,2143716,153122.5714,172348.2782,631670,1097,1882419,99074.68421,161049.9981,677717,916,0,0,0,0,312,408,6.997195524,9.329594032,0,1460,205.6111111,356.7895961,127298.8159,0,3,0,18,34,0,0,0,1,211.4857143,119,280.85,0,0,0,7402,18,4017,0,51,0,160,8192,64240,7,20,0,0,0,0,1.63E+15,0,1.63E+15,1.63E+15,normal
192.168.1.3-103.229.10.173-52995-443-6,192.168.1.3,52995,103.229.10.173,443,6,30/08/2021 10:16:16 AM,45180822,1,1,1,31,1,1,1,0,31,31,31,0,0.708265113,0.04426657,4.52E+07,0,4.52E+07,4.52E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.022133285,0.022133285,1,31,11,17.32050808,300,1,0,0,1,2,0,0,0,1,16.5,1,31,0,0,0,0,0,0,0,0,0,15,64240,64240,0,20,0,0,0,0,8.15E+14,1.15E+15,1.63E+15,4.52E+07,normal
192.168.1.3-103.229.10.173-64710-443-6,192.168.1.3,64710,103.229.10.173,443,6,30/08/2021 10:13:59 AM,4945,3,0,0,0,0,0,0,0,0,0,0,0,0,606.6734075,2472.5,1983.434521,3875,1070,4945,2472.5,1983.434521,3875,1070,0,0,0,0,0,0,0,0,0,60,0,606.6734075,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,1.63E+15,0,1.63E+15,1.63E+15,normal
192.168.1.4-103.229.10.173-65356-443-6,192.168.1.4,65356,103.229.10.173,443,6,30/08/2021 09:57:58 AM,5818898,1,1,0,0,0,0,0,0,0,0,0,0,0,0.343707692,5818898,0,5818898,5818898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.171853846,0.171853846,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64163,64239,0,20,0,0,0,0,8.15E+14,1.15E+15,1.63E+15,5818898,normal
192.168.1.4-103.229.10.236-51257-443-6,192.168.1.4,51257,103.229.10.236,443,6,30/08/2021 12:13:35 PM,4942,3,1,0,0,0,0,0,0,0,0,0,0,0,809.3889114,1647.333333,1249.493231,3084,814,4942,2471,2343.351873,4128,814,0,0,0,0,0,0,0,0,0,60,20,607.0416835,202.3472278,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63288,64239,0,20,0,0,0,0,1.63E+15,0,1.63E+15,1.63E+15,normal
192.168.1.4-104.121.240.160-50339-443-6,192.168.1.4,50339,104.121.240.160,443,6,30/08/2021 09:55:15 AM,23692348,3,51,0,45089,0,0,0,0,1460,0,884.0980392,690.4314088,1903.103905,2.279216902,447025.434,2188443.792,1.59E+07,1050,7736429,3868214.5,5104211.409,7477437,258992,2.34E+07,468708.12,2252525.695,1.59E+07,4370,0,0,0,0,72,1024,0.126623161,2.15259374,0,1460,819.8,703.6138303,495072.4222,1,2,0,18,53,0,0,0,17,834.9814815,0,884.0980392,0,0,0,22504,21,13337,0,0,0,834,64240,64240,0,20,7736429,0,7736429,7736429,8.15E+14,1.15E+15,1.63E+15,1.59E+07,normal
192.168.1.4-104.121.240.160-50939-443-6,192.168.1.4,50939,104.121.240.160,443,6,30/08/2021 09:55:54 AM,536266,2,0,0,0,0,0,0,0,0,0,0,0,0,3.729492453,536266,0,536266,536266,536266,536266,0,536266,536266,0,0,0,0,0,0,0,0,0,40,0,3.729492453,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,63905,0,0,20,0,0,0,0,1.63E+15,0,1.63E+15,1.63E+15,normal
192.168.1.4-104.121.240.160-53161-443-6,192.168.1.4,53161,104.121.240.160,443,6,30/08/2021 09:56:08 AM,238661,1,1,0,0,0,0,0,0,0,0,0,0,0,8.380087237,238661,0,238661,238661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4.190043618,4.190043618,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64209,64239,0,20,0,0,0,0,1.63E+15,0,1.63E+15,1.63E+15,normal
192.168.1.3-104.16.18.94-56559-443-6,192.168.1.3,56559,104.16.18.94,443,6,30/08/2021 09:53:49 AM,105283858,19,188,673,260419,517,0,35.42105263,119.2594351,1460,0,1385.207447,299.1630116,2479.886328,1.966113362,511086.6893,6282854.606,9.01E+07,694,1.52E+07,843303.2778,3304858.432,1.41E+07,757,1.05E+08,561120.2139,6593930.348,9.01E+07,694,0,0,0,0,392,3768,0.180464511,1.78564885,0,1460,1255.25,491.5453056,241616.7874,0,3,0,24,206,0,0,0,9,1261.31401,35.42105263,1385.207447,0,0,0,52218,37,45879,0,3,0,1258,8192,64240,3,20,1.52E+07,0,1.52E+07,1.52E+07,8.15E+14,1.15E+15,1.63E+15,9.01E+07,normal
192.168.1.3-104.16.18.94-56559-443-6,192.168.1.3,56559,104.16.18.94,443,6,30/08/2021 09:59:19 AM,75253897,1,4,1,126,1,1,1,0,63,0,31.5,36.37306696,1.687620244,0.066441742,1.88E+07,2.26E+07,4.51E+07,6067,0,0,0,0,0,7.52E+07,2.51E+07,2.30E+07,4.51E+07,6067,0,0,0,0,20,80,0.013288348,0.053153394,0,63,21.33333333,32.27795946,1041.866667,1,0,0,2,5,0,0,0,4,25.6,1,31.5,0,0,0,0,0,0,0,0,0,25,64240,64240,0,20,19346,0,19346,19346,5.43E+14,9.41E+14,1.63E+15,3.01E+07,normal
192.168.1.3-104.16.18.94-54285-443-6,192.168.1.3,54285,104.16.18.94,443,6,30/08/2021 09:53:49 AM,1457804,5,9,517,3593,517,0,103.4,231.2094289,1460,0,399.2222222,478.8858888,2819.309043,9.603485791,112138.7692,114379.177,322305,774,1050785,262696.25,249149.5624,577395,7510,1135499,141937.375,93453.9208,284448,774,0,0,0,0,112,188,3.429816354,6.173669437,0,1460,274,414.918925,172157.7143,0,3,0,5,13,0,0,0,1,293.5714286,103.4,399.2222222,0,0,0,4110,6,3680,0,36,0,256,8192,64240,1,20,0,0,0,0,1.63E+15,0,1.63E+15,1.63E+15,normal
192.168.1.4-104.16.68.69-50955-443-6,192.168.1.4,50955,104.16.68.69,443,6,30/08/2021 12:17:37 PM,5089,2,1,0,0,0,0,0,0,0,0,0,0,0,589.5067793,2544.5,316.0767312,2768,2321,2321,2321,0,2321,2321,0,0,0,0,0,0,0,0,0,40,20,393.0045196,196.5022598,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64177,64239,0,20,0,0,0,0,1.63E+15,0,1.63E+15,1.63E+15,normal
192.168.1.4-104.18.102.194-51650-443-6,192.168.1.4,51650,104.18.102.194,443,6,30/08/2021 12:10:36 PM,46216204,6,9,582,3128,517,0,97,207.3316184,1460,0,347.5555556,496.9250726,80.27487502,0.324561489,3301157.429,1.21E+07,4.53E+07,651,4.62E+07,9243240.8,2.04E+07,4.57E+07,49344,883546,110443.25,129987.4794,291782,651,0,0,0,0,132,180,0.129824596,0.194736894,0,1460,231.875,406.1001313,164917.3167,0,1,0,6,14,0,0,0,1,247.3333333,97,347.5555556,0,0,0,3709,7,4162,0,38,0,208,64240,64240,3,20,940399,0,940399,940399,8.15E+14,1.15E+15,1.63E+15,4.53E+07,normal
192.168.1.4-104.18.102.194-51650-443-6,192.168.1.4,51650,104.18.102.194,443,6,30/08/2021 12:13:37 PM,90033581,3,3,3,0,1,1,1,0,0,0,0,0,0.033320901,0.066641801,1.80E+07,2.47E+07,4.50E+07,3144,9.00E+07,4.50E+07,1284.105915,4.50E+07,4.50E+07,9.00E+07,4.50E+07,556.4930368,4.50E+07,4.50E+07,0,0,0,0,60,60,0.033320901,0.033320901,0,1,0.571428571,0.534522484,0.285714286,0,0,0,0,6,0,0,0,1,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0,63058,64240,2,20,3342,280.0142853,3540,3144,5.43E+14,9.41E+14,1.63E+15,4.50E+07,normal
192.168.1.4-104.18.102.194-51650-443-6,192.168.1.4,51650,104.18.102.194,443,6,30/08/2021 12:15:52 PM,84637401,2,4,2,63,1,1,1,0,63,0,15.75,31.5,0.767981994,0.070890646,1.69E+07,2.33E+07,4.50E+07,915,4.50E+07,4.50E+07,0,4.50E+07,4.50E+07,8.46E+07,2.82E+07,2.46E+07,4.50E+07,915,0,0,0,0,40,80,0.023630215,0.04726043,0,63,9.428571429,23.62807047,558.2857143,1,0,0,2,6,0,0,0,2,11,1,15.75,0,0,0,0,0,0,0,0,0,10,63058,64240,1,20,4289,1168.140403,5115,3463,5.43E+14,9.41E+14,1.63E+15,3.96E+07,normal
192.168.1.4-104.18.102.194-51650-443-6,192.168.1.4,51650,104.18.102.194,443,6,30/08/2021 12:17:17 PM,3677,2,1,0,0,0,0,0,0,0,0,0,0,0,815.8825129,1838.5,1474.317639,2881,796,796,796,0,796,796,0,0,0,0,0,0,0,0,0,40,20,543.9216753,271.9608376,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62995,64239,0,20,0,0,0,0,1.63E+15,0,1.63E+15,1.63E+15,normal
