Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.4-103.229.10.173-63845-443-6,192.168.1.4,63845,103.229.10.173,443,6,3/9/2021 10:16,76301328,5,4,580,219,528,0,116,231.3579478,150,0,54.75,71.34598797,10.4716395,0.117953386,9537666,1.80E+07,4.50E+07,3932,7.63E+07,1.91E+07,2.26E+07,4.50E+07,116972,210702,70234,52469.58751,103305,9735,1,0,0,0,100,80,0.065529659,0.052423727,0,528,132.7,213.7854844,45704.23333,1,0,0,4,9,0,0,0,0,147.4444444,116,54.75,0,0,0,798,4,3620,0,64,0,24,64240,64240,2,20,267209,0,267209,267209,5.44E+14,9.41E+14,1.63E+15,3.11E+07,normal
192.168.1.4-103.229.10.173-61465-443-6,192.168.1.4,61465,103.229.10.173,443,6,3/9/2021 10:16,45843240,7,7,1118,2213,517,0,159.7142857,241.3612191,1460,0,316.1428571,519.8994866,72.66065837,0.305388537,3526403.077,1.25E+07,4.50E+07,1366,4.58E+07,7640540,1.86E+07,4.56E+07,3924,715416,119236,170151.1343,451847,8125,0,0,0,0,152,144,0.152694269,0.152694269,0,1460,222.0666667,388.1995927,150698.9238,0,2,0,7,13,0,0,0,1,237.9285714,159.7142857,316.1428571,0,0,0,3330,7,4694,0,79,0,158,64240,64240,4,20,829543,0,829543,829543,8.15E+14,1.15E+15,1.63E+15,4.50E+07,normal
192.168.1.4-103.229.10.173-61465-443-6,192.168.1.4,61465,103.229.10.173,443,6,3/9/2021 10:19,44955494,1,3,1,77,1,1,1,0,46,0,25.66666667,23.45918441,1.735049336,0.088976889,1.50E+07,2.60E+07,4.50E+07,797,0,0,0,0,0,4.50E+07,2.25E+07,3.18E+07,4.50E+07,797,0,0,0,0,20,60,0.022244222,0.066732667,0,46,15.8,21.39392437,457.7,1,0,0,2,4,0,0,0,3,19.75,1,25.66666667,0,0,0,0,0,0,0,0,0,19,62994,64240,0,20,2868,0,2868,2868,8.15E+14,1.15E+15,1.63E+15,4.50E+07,normal
192.168.1.4-103.229.10.173-61465-443-6,192.168.1.4,61465,103.229.10.173,443,6,3/9/2021 10:19,4734,3,1,0,0,0,0,0,0,0,0,0,0,0,844.9514153,1578,1188.049241,2943,777,4734,2367,2248.599564,3957,777,0,0,0,0,0,0,0,0,0,60,20,633.7135615,211.2378538,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62948,64239,0,20,0,0,0,0,1.63E+15,0,1.63E+15,1.63E+15,normal
192.168.1.4-103.3.63.48-59042-443-6,192.168.1.4,59042,103.3.63.48,443,6,3/9/2021 10:18,87456777,3,10,1,5351,1,0,0.333333333,0.577350269,1460,0,535.1,603.4628682,61.19594368,0.148644856,7288064.75,1.60E+07,4.51E+07,6048,8.75E+07,4.37E+07,8477535.019,4.97E+07,3.77E+07,3554475,394941.6667,449348.0263,1462167,6048,0,0,0,0,72,204,0.034302659,0.114342197,0,1460,382.2857143,561.2372909,314987.2967,1,2,0,6,12,0,0,0,3,411.6923077,0.333333333,535.1,0,0,0,4462,5,3557,0,0,0,411,64240,64240,1,20,4615365,0,4615365,4615365,5.44E+14,9.41E+14,1.63E+15,3.77E+07,normal
192.168.1.4-103.3.63.48-59139-443-6,192.168.1.4,59139,103.3.63.48,443,6,3/9/2021 10:20,4051,2,1,0,0,0,0,0,0,0,0,0,0,0,740.5578869,2025.5,1680.792819,3214,837,837,837,0,837,837,0,0,0,0,0,0,0,0,0,40,20,493.705258,246.852629,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63064,64239,0,20,0,0,0,0,1.63E+15,0,1.63E+15,1.63E+15,normal
192.168.1.4-104.122.3.212-52840-443-6,192.168.1.4,52840,104.122.3.212,443,6,3/9/2021 10:16,20505175,6,9,597,4554,517,0,99.5,207.0205304,1460,0,506,632.2070468,251.2048788,0.731522652,1464655.357,5260295.25,1.97E+07,792,766872,153374.4,135613.1663,253461,4659,2.03E+07,2531950.125,6953410.715,1.97E+07,792,0,0,0,0,132,184,0.292609061,0.438913591,0,1460,321.9375,523.9083213,274479.9292,1,2,0,8,14,0,0,0,1,343.4,99.5,506,0,0,0,5127,7,10062,0,39,0,303,64240,64240,2,20,766872,0,766872,766872,8.15E+14,1.15E+15,1.63E+15,1.97E+07,normal
192.168.1.4-104.122.3.212-52840-443-6,192.168.1.4,52840,104.122.3.212,443,6,3/9/2021 10:17,5254198,2,0,0,0,0,0,0,0,0,0,0,0,0,0.380648008,5254198,0,5254198,5254198,5254198,5254198,0,5254198,5254198,0,0,0,0,0,0,0,0,0,40,0,0.380648008,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64216,0,0,20,0,0,0,0,8.15E+14,1.15E+15,1.63E+15,5254198,normal
192.168.1.4-104.122.3.212-57612-443-6,192.168.1.4,57612,104.122.3.212,443,6,3/9/2021 10:16,88451493,12,15,6406,9342,1460,0,533.8333333,682.4939338,1460,0,622.8,560.9164949,178.0410874,0.305252055,3401980.5,1.14E+07,4.50E+07,890,8.71E+07,7920733.273,1.70E+07,4.53E+07,890,8.82E+07,6299482.571,2.28E+07,8.54E+07,1079,0,0,0,0,252,304,0.13566758,0.169584475,0,1460,562.4285714,605.8165245,367013.6614,0,2,0,14,26,0,0,0,1,583.2592593,533.8333333,622.8,0,0,0,5549,6,10293,0,237,0,346,64240,64240,8,20,2693109,0,2693109,2693109,5.44E+14,9.41E+14,1.63E+15,3.91E+07,normal
192.168.1.4-104.122.3.212-57612-443-6,192.168.1.4,57612,104.122.3.212,443,6,3/9/2021 10:19,90020106,3,2,3,0,1,1,1,0,0,0,0,0,0.033325888,0.055543147,2.25E+07,2.60E+07,4.50E+07,2975,9.00E+07,4.50E+07,9662.614165,4.50E+07,4.50E+07,4.50E+07,4.50E+07,0,4.50E+07,4.50E+07,0,0,0,0,60,40,0.033325888,0.022217259,0,1,0.666666667,0.516397779,0.266666667,0,0,0,0,5,0,0,0,0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,64240,64240,2,20,2985,0,2985,2985,5.44E+14,9.41E+14,1.63E+15,4.50E+07,normal
192.168.1.4-104.122.3.212-57612-443-6,192.168.1.4,57612,104.122.3.212,443,6,3/9/2021 10:21,90040632,3,3,3,0,1,1,1,0,0,0,0,0,0.033318291,0.066636582,1.80E+07,2.47E+07,4.50E+07,3024,9.00E+07,4.50E+07,1445.326261,4.50E+07,4.50E+07,9.00E+07,4.50E+07,3361.585638,4.50E+07,4.50E+07,0,0,0,0,60,60,0.033318291,0.033318291,0,1,0.571428571,0.534522484,0.285714286,0,0,0,0,6,0,0,0,1,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0,64240,64240,2,20,7919,3585.031381,10454,5384,5.44E+14,9.41E+14,1.63E+15,4.50E+07,normal
192.168.1.4-104.122.3.212-57612-443-6,192.168.1.4,57612,104.122.3.212,443,6,3/9/2021 10:23,19352873,2,1,1,0,1,0,0.5,0.707106781,0,0,0,0,0.051671915,0.155015744,9676436.5,1.37E+07,1.93E+07,4166,1.94E+07,1.94E+07,0,1.94E+07,1.94E+07,0,0,0,0,0,0,0,0,0,40,20,0.103343829,0.051671915,0,1,0.5,0.577350269,0.333333333,1,0,0,0,3,0,0,0,0,0.666666667,0.5,0,0,0,0,0,0,0,0,0,0,0,64240,64240,0,20,4166,0,4166,4166,8.15E+14,1.15E+15,1.63E+15,1.93E+07,normal
192.168.1.4-104.122.3.212-57612-443-6,192.168.1.4,57612,104.122.3.212,443,6,3/9/2021 10:23,855,2,0,0,0,0,0,0,0,0,0,0,0,0,2339.181287,855,0,855,855,855,855,0,855,855,0,0,0,0,0,0,0,0,0,40,0,2339.181287,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,1.63E+15,0,1.63E+15,1.63E+15,normal
192.168.1.4-104.16.89.20-63688-443-6,192.168.1.4,63688,104.16.89.20,443,6,3/9/2021 10:18,62038509,8,6,582,2654,517,0,72.75,180.8888767,1460,0,442.3333333,579.6528846,52.16115042,0.225666287,4772193,1.29E+07,4.50E+07,984,6.20E+07,8862644.143,1.71E+07,4.50E+07,1269,313501,62700.2,76670.31423,163702,3412,0,0,0,0,172,124,0.128952164,0.096714123,0,1460,215.7333333,416.3800576,173372.3524,1,2,0,4,13,0,0,0,0,231.1428571,72.75,442.3333333,0,0,0,3235,5,10458,0,41,0,189,64240,64240,3,20,486313,0,486313,486313,5.44E+14,9.41E+14,1.63E+15,1.66E+07,normal
