Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.4-103.229.10.236-55998-443-6,192.168.1.4,55998,103.229.10.236,443,6,5/9/2021 14:29,5916,3,1,0,0,0,0,0,0,0,0,0,0,0,676.132522,1972,1554.639186,3761,949,5916,2958,2841.155047,4967,949,0,0,0,0,0,0,0,0,0,60,20,507.0993915,169.0331305,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63793,64239,0,20,0,0,0,0,1.63E+15,0,1.63E+15,1.63E+15,normal
192.168.1.4-104.121.242.77-56443-443-6,192.168.1.4,56443,104.121.242.77,443,6,5/9/2021 14:26,11553039,3,10,517,7870,517,0,172.3333333,298.4900892,1460,0,787,709.9871673,725.9561748,1.125245055,962753.25,2630509.057,9292269,2371,626220,313110,232725.8123,477672,148548,1.11E+07,1232174.556,3028315.771,9292269,5385,0,0,0,0,72,208,0.259671936,0.865573119,0,1460,599.0714286,677.8531114,459484.8407,1,3,0,6,12,0,0,0,3,645.1538462,172.3333333,787,0,0,0,8310,8,4660,0,39,0,605,64240,64240,1,20,2260770,0,2260770,2260770,8.15E+14,1.15E+15,1.63E+15,9292269,normal
192.168.1.4-104.121.242.77-51711-443-6,192.168.1.4,51711,104.121.242.77,443,6,5/9/2021 14:26,11701028,2,11,517,11662,517,0,258.5,365.5742059,1460,0,1060.181818,617.4897276,1040.848719,1.111013494,975085.6667,2679264.229,9468792,0,494165,494165,0,494165,494165,1.09E+07,1091432,2946382.17,9468792,0,0,0,0,0,52,224,0.170925153,0.940088341,0,1460,869.9285714,670.7748062,449938.8407,1,2,0,7,12,0,0,0,5,936.8461538,258.5,1060.181818,0,0,0,12102,10,6962,0,39,0,897,64240,64240,1,20,2232236,0,2232236,2232236,8.15E+14,1.15E+15,1.63E+15,9468792,normal
192.168.1.4-104.121.242.77-56443-443-6,192.168.1.4,56443,104.121.242.77,443,6,5/9/2021 14:27,48143737,3,0,1,0,1,0,0.333333333,0.577350269,0,0,0,0,0.020771134,0.062313401,2.41E+07,2.96E+07,4.50E+07,3129016,4.81E+07,2.41E+07,2.96E+07,4.50E+07,3129016,0,0,0,0,0,0,0,0,0,60,0,0.062313401,0,0,1,0.25,0.5,0.25,1,0,0,0,3,0,0,0,0,0.333333333,0.333333333,0,0,0,0,0,0,0,1,0,0,0,63644,0,1,20,0,0,0,0,8.15E+14,1.15E+15,1.63E+15,4.50E+07,normal
192.168.1.4-104.121.242.77-51711-443-6,192.168.1.4,51711,104.121.242.77,443,6,5/9/2021 14:27,47970189,3,0,1,0,1,0,0.333333333,0.577350269,0,0,0,0,0.02084628,0.062538841,2.40E+07,2.97E+07,4.50E+07,2958246,4.80E+07,2.40E+07,2.97E+07,4.50E+07,2958246,0,0,0,0,0,0,0,0,0,60,0,0.062538841,0,0,1,0.25,0.5,0.25,1,0,0,0,3,0,0,0,0,0.333333333,0.333333333,0,0,0,0,0,0,0,1,0,0,0,63905,0,1,20,0,0,0,0,8.15E+14,1.15E+15,1.63E+15,4.50E+07,normal
192.168.1.4-104.16.148.64-53752-443-6,192.168.1.4,53752,104.16.148.64,443,6,5/9/2021 14:25,111050626,68,133,1123,164254,517,0,16.51470588,68.41346918,1460,0,1234.992481,484.2628496,1489.203672,1.809985294,555253.13,4437840.962,4.50E+07,551,1.11E+08,1657472.03,9459921.105,6.38E+07,661,6.60E+07,499936.2197,3835137.124,3.19E+07,551,0,0,0,0,1372,2664,0.612333333,1.197651961,0,1460,818.6980198,700.9096881,491274.3909,0,2,0,114,200,0,0,0,1,822.7711443,16.51470588,1234.992481,0,0,0,81958,64,76850,0,5,0,817,64240,64240,8,20,1763650,1351986.751,2719649,807651,4.08E+14,8.15E+14,1.63E+15,3.07E+07,normal
192.168.1.4-104.16.148.64-53752-443-6,192.168.1.4,53752,104.16.148.64,443,6,5/9/2021 14:28,90033807,3,3,3,0,1,1,1,0,0,0,0,0,0.033320817,0.066641634,1.80E+07,2.47E+07,4.50E+07,3991,9.00E+07,4.50E+07,162.6345597,4.50E+07,4.50E+07,9.00E+07,4.50E+07,1619.274529,4.50E+07,4.50E+07,0,0,0,0,60,60,0.033320817,0.033320817,0,1,0.571428571,0.534522484,0.285714286,0,0,0,0,6,0,0,0,1,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0,63647,64240,2,20,4885,1264.306925,5779,3991,5.44E+14,9.42E+14,1.63E+15,4.50E+07,normal
192.168.1.4-104.16.148.64-53752-443-6,192.168.1.4,53752,104.16.148.64,443,6,5/9/2021 14:30,90030702,3,3,3,0,1,1,1,0,0,0,0,0,0.033321966,0.066643932,1.80E+07,2.47E+07,4.50E+07,2772,9.00E+07,4.50E+07,3674.126835,4.50E+07,4.50E+07,9.00E+07,4.50E+07,3099.956129,4.50E+07,4.50E+07,0,0,0,0,60,60,0.033321966,0.033321966,0,1,0.571428571,0.534522484,0.285714286,0,0,0,0,6,0,0,0,1,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0,63647,64240,2,20,2804,45.254834,2836,2772,5.44E+14,9.42E+14,1.63E+15,4.50E+07,normal
192.168.1.4-104.16.148.64-53752-443-6,192.168.1.4,53752,104.16.148.64,443,6,5/9/2021 14:32,36854468,2,1,1,0,1,0,0.5,0.707106781,0,0,0,0,0.027133752,0.081401256,1.84E+07,2.61E+07,3.68E+07,4592,3.69E+07,3.69E+07,0,3.69E+07,3.69E+07,0,0,0,0,0,0,0,0,0,40,20,0.054267504,0.027133752,0,1,0.5,0.577350269,0.333333333,1,0,0,0,3,0,0,0,0,0.666666667,0.5,0,0,0,0,0,0,0,0,0,0,0,63647,64240,0,20,4592,0,4592,4592,8.15E+14,1.15E+15,1.63E+15,3.68E+07,normal
192.168.1.4-104.16.88.20-57960-443-6,192.168.1.4,57960,104.16.88.20,443,6,5/9/2021 14:25,92373286,5,10,2,4459,1,0,0.4,0.547722558,1460,0,445.9,621.8435763,48.29318294,0.16238461,6598091.857,1.63E+07,4.50E+07,3125,9.24E+07,2.31E+07,2.66E+07,4.72E+07,22791,9.22E+07,1.02E+07,2.99E+07,9.00E+07,4066,0,0,0,0,112,204,0.054128203,0.108256407,0,1460,278.8125,530.70346,281646.1625,0,2,0,2,14,0,0,0,2,297.4,0.4,445.9,0,0,0,0,0,0,0,0,0,297,64240,64240,2,20,2342796,0,2342796,2342796,5.44E+14,9.42E+14,1.63E+15,4.50E+07,normal
